SongID,Title,SingerID,AlbumID,Title,ReleaseDate,SingerID,SingerID,StageName,RealName,NationalityID,DebutYear,NationalityID,CountryName,MusicStreamers
null,null,null,null,null,null,null,null,null,null,null,null,1,Puerto Rico,500000
null,null,null,null,null,null,null,null,null,null,null,null,2,Colombia,9200000
null,null,null,null,null,null,null,1,Bad Bunny,Benito Antonio Martínez Ocasio,1,2018,null,null,null
null,null,null,null,null,null,null,2,Daddy Yankee,Ramón Luis Ayala Rodríguez,1,1995,null,null,null
null,null,null,null,null,null,null,3,Don Omar,William Omar Landrón Rivera,1,2003,null,null,null
null,null,null,null,null,null,null,4,J Balvin,José Álvaro Osorio Balvin,2,2004,null,null,null
null,null,null,null,null,null,null,5,Karol G,Carolina Giraldo Navarro,2,2006,null,null,null
null,null,null,null,null,null,null,6,Tainy,Marcos Efraín Masís Fernández,1,2020,null,null,null
null,null,null,null,null,null,null,7,Rauw Alejandro,Raúl Alejandro Ocasio Ruiz,1,2014,null,null,null
null,null,null,null,null,null,null,8,Mora,Gabriel Mora Quintero,1,2021,null,null,null
null,null,null,1,Un Verano Sin Ti,06/05/2022,1,null,null,null,null,null,null,null,null
null,null,null,2,Barrio Fino (Bonus Track Version),13/07/2004,2,null,null,null,null,null,null,null,null
null,null,null,3,nadie sabe lo que va a pasar maÔøΩana,13/10/2023,1,null,null,null,null,null,null,null,null
null,null,null,4,The Last Don II,16/06/2015,3,null,null,null,null,null,null,null,null
null,null,null,5,Vibras,25/05/2018,4,null,null,null,null,null,null,null,null
null,null,null,6,X 100PRE,24/12/2018,1,null,null,null,null,null,null,null,null
null,null,null,7,MAÑANA SERÁ BONITO,24/02/2023,5,null,null,null,null,null,null,null,null
null,null,null,8,DATA,29/06/2023,6,null,null,null,null,null,null,null,null
null,null,null,9,SATURNO,11/11/2022,7,null,null,null,null,null,null,null,null
null,null,null,10,Primer Dia de Clases,05/02/2021,8,null,null,null,null,null,null,null,null
null,null,null,11,LEGENDADDY,25/03/2022,2,null,null,null,null,null,null,null,null
1,Moscow Mule,1,null,null,null,null,null,null,null,null,null,null,null,null
2,Después de la Playa,1,null,null,null,null,null,null,null,null,null,null,null,null
3,Me Porto Bonito,1,null,null,null,null,null,null,null,null,null,null,null,null
4,Tití Me Preguntó,1,null,null,null,null,null,null,null,null,null,null,null,null
5,Un Ratito,1,null,null,null,null,null,null,null,null,null,null,null,null
6,Yo No Soy Celoso,1,null,null,null,null,null,null,null,null,null,null,null,null
7,Tarot,1,null,null,null,null,null,null,null,null,null,null,null,null
8,Neverita,1,null,null,null,null,null,null,null,null,null,null,null,null
9,La Corriente,1,null,null,null,null,null,null,null,null,null,null,null,null
10,Efecto,1,null,null,null,null,null,null,null,null,null,null,null,null
11,Party,1,null,null,null,null,null,null,null,null,null,null,null,null
12,Aguacero,1,null,null,null,null,null,null,null,null,null,null,null,null
13,Enséñame a Bailar,1,null,null,null,null,null,null,null,null,null,null,null,null
14,Ojitos Lindos,1,null,null,null,null,null,null,null,null,null,null,null,null
15,Dos Mil 16,1,null,null,null,null,null,null,null,null,null,null,null,null
16,El Apagón,1,null,null,null,null,null,null,null,null,null,null,null,null
17,Otro Atardecer,1,null,null,null,null,null,null,null,null,null,null,null,null
